año,mes,administración,cantidad_vehículos
2010,Febrero,-,1106044.0
2010,Julio,Ciudad de Buenos Aires,1152177.0
2010,Agosto,Ciudad de Buenos Aires,1162110.0
2010,Septiembre,Ciudad de Buenos Aires,1172083.0
2010,Octubre,Ciudad de Buenos Aires,1183037.0
2010,Noviembre,Ciudad de Buenos Aires,1192963.0
2010,Diciembre,Ciudad de Buenos Aires,1203331.0
2010,Enero,Argentina,9395122.0
2010,Febrero,Argentina,9473131.0
2010,Marzo,Argentina,9517429.0
2010,Abril,Argentina,9574218.0
2010,Mayo,Argentina,9624870.0
2010,Junio,Argentina,9675173.0
2010,Julio,Argentina,9729662.0
2010,Agosto,Argentina,9786588.0
2010,Septiembre,Argentina,9843488.0
2010,Octubre,Argentina,9906979.0
2010,Noviembre,Argentina,9960306.0
2010,Diciembre,Argentina,10014003.0
2011,Enero,Ciudad de Buenos Aires,1212025.0
2011,Febrero,Ciudad de Buenos Aires,1227727.0
2011,Marzo,Ciudad de Buenos Aires,1237515.0
2011,Abril,Ciudad de Buenos Aires,1247406.0
2011,Mayo,Ciudad de Buenos Aires,1249089.0
2011,Junio,Ciudad de Buenos Aires,1253790.0
2011,Julio,Ciudad de Buenos Aires,1254920.0
2011,Agosto,Ciudad de Buenos Aires,1256247.0
2011,Septiembre,Ciudad de Buenos Aires,1268274.0
2011,Octubre,Ciudad de Buenos Aires,1271934.0
2011,Noviembre,Ciudad de Buenos Aires,1271912.0
2011,Diciembre,Ciudad de Buenos Aires,1275281.0
2011,Enero,Argentina,10052466.0
2011,Febrero,Argentina,10155707.0
2011,Marzo,Argentina,10215510.0
2011,Abril,Argentina,10275961.0
2011,Mayo,Argentina,10340890.0
2011,Junio,Argentina,10416509.0
2011,Julio,Argentina,10485859.0
2011,Agosto,Argentina,10562283.0
2011,Septiembre,Argentina,10646440.0
2011,Octubre,Argentina,10716169.0
2011,Noviembre,Argentina,10778448.0
2011,Diciembre,Argentina,10815732.0
2012,Enero,Ciudad de Buenos Aires,1280523.0
2012,Febrero,Ciudad de Buenos Aires,1283110.0
2012,Marzo,Ciudad de Buenos Aires,1290021.0
2012,Abril,Ciudad de Buenos Aires,1294911.0
2012,Mayo,Ciudad de Buenos Aires,1297425.0
2012,Junio,Ciudad de Buenos Aires,1302085.0
2012,Julio,Ciudad de Buenos Aires,1308588.0
2012,Agosto,Ciudad de Buenos Aires,1308994.0
2012,Septiembre,Ciudad de Buenos Aires,1306801.0
2012,Octubre,Ciudad de Buenos Aires,1295956.0
2012,Noviembre,Ciudad de Buenos Aires,1256416.0
2012,Diciembre,Ciudad de Buenos Aires,1323365.0
2012,Enero,Argentina,10925332.0
2012,Febrero,Argentina,10981140.0
2012,Marzo,Argentina,11061167.0
2012,Abril,Argentina,11119740.0
2012,Mayo,Argentina,11192226.0
2012,Junio,Argentina,11260309.0
2012,Julio,Argentina,11331453.0
2012,Agosto,Argentina,11401784.0
2012,Septiembre,Argentina,11458876.0
2012,Octubre,Argentina,11510729.0
2012,Noviembre,Argentina,11506021.0
2012,Diciembre,Argentina,11626894.0
2013,Enero,Ciudad de Buenos Aires,1336083.0
2013,Febrero,Ciudad de Buenos Aires,1340352.0
2013,Marzo,Ciudad de Buenos Aires,1354485.0
2013,Abril,Ciudad de Buenos Aires,1353569.0
2013,Mayo,Ciudad de Buenos Aires,1359665.0
2013,Junio,Ciudad de Buenos Aires,1366084.0
2013,Julio,Ciudad de Buenos Aires,1372111.0
2013,Agosto,Ciudad de Buenos Aires,1377668.0
2013,Septiembre,Ciudad de Buenos Aires,1383457.0
2013,Octubre,Ciudad de Buenos Aires,1390134.0
2013,Noviembre,Ciudad de Buenos Aires,1395329.0
2013,Diciembre,Ciudad de Buenos Aires,1398595.0
2013,Enero,Argentina,11737809.0
2013,Febrero,Argentina,11798875.0
2013,Marzo,Argentina,11923536.0
2013,Abril,Argentina,11944444.0
2013,Mayo,Argentina,12032139.0
2013,Junio,Argentina,12104381.0
2013,Julio,Argentina,12188209.0
2013,Agosto,Argentina,12266187.0
2013,Septiembre,Argentina,12347197.0
2013,Octubre,Argentina,12431758.0
2013,Noviembre,Argentina,12493333.0
2013,Diciembre,Argentina,12539370.0
2014,Enero,Ciudad de Buenos Aires,1407799.0
2014,Febrero,Ciudad de Buenos Aires,1410778.0
2014,Marzo,Ciudad de Buenos Aires,1411976.0
2014,Abril,Ciudad de Buenos Aires,1413894.0
2014,Mayo,Ciudad de Buenos Aires,1416946.0
2014,Junio,Ciudad de Buenos Aires,1416348.0
2014,Julio,Ciudad de Buenos Aires,1420693.0
2014,Agosto,Ciudad de Buenos Aires,1419210.0
2014,Septiembre,Ciudad de Buenos Aires,1424973.0
2014,Octubre,Ciudad de Buenos Aires,1426559.0
2014,Noviembre,Ciudad de Buenos Aires,1426505.0
2014,Diciembre,Ciudad de Buenos Aires,1424156.0
2014,Enero,Argentina,12645458.0
2014,Febrero,Argentina,12700645.0
2014,Marzo,Argentina,12747867.0
2014,Abril,Argentina,12796785.0
2014,Mayo,Argentina,12849203.0
2014,Junio,Argentina,12895625.0
2014,Julio,Argentina,12954025.0
2014,Agosto,Argentina,13004091.0
2014,Septiembre,Argentina,13061961.0
2014,Octubre,Argentina,13111761.0
2014,Noviembre,Argentina,13146854.0
2014,Diciembre,Argentina,13171695.0
2015,Enero,Ciudad de Buenos Aires,1427721.0
2015,Febrero,Ciudad de Buenos Aires,1425983.0
2015,Marzo,Ciudad de Buenos Aires,1430445.0
2015,Abril,Ciudad de Buenos Aires,1426285.0
2015,Mayo,Ciudad de Buenos Aires,1433127.0
2015,Junio,Ciudad de Buenos Aires,1435353.0
2015,Julio,Ciudad de Buenos Aires,1437597.0
2015,Agosto,Ciudad de Buenos Aires,1438778.0
2015,Septiembre,Ciudad de Buenos Aires,1441777.0
2015,Octubre,Ciudad de Buenos Aires,1443020.0
2015,Noviembre,Ciudad de Buenos Aires,1444001.0
2015,Diciembre,Ciudad de Buenos Aires,1439423.0
2015,Enero,Argentina,13235691.0
2015,Febrero,Argentina,13273305.0
2015,Marzo,Argentina,13321967.0
2015,Abril,Argentina,13365722.0
2015,Mayo,Argentina,13414538.0
2015,Junio,Argentina,13468869.0
2015,Julio,Argentina,13526210.0
2015,Agosto,Argentina,13580831.0
2015,Septiembre,Argentina,13643691.0
2015,Octubre,Argentina,13700591.0
2015,Noviembre,Argentina,13748740.0
2015,Diciembre,Argentina,13773058.0
2016,Enero,Ciudad de Buenos Aires,1444729.0
2016,Febrero,Ciudad de Buenos Aires,1445976.0
2016,Marzo,Ciudad de Buenos Aires,1395670.0
2016,Abril,Ciudad de Buenos Aires,1451010.0
2016,Mayo,Ciudad de Buenos Aires,1454620.0
2016,Junio,Ciudad de Buenos Aires,1457134.0
2016,Julio,Ciudad de Buenos Aires,1460848.0
2016,Agosto,Ciudad de Buenos Aires,1463602.0
2016,Septiembre,Ciudad de Buenos Aires,1467397.0
2016,Octubre,Ciudad de Buenos Aires,1470486.0
2016,Noviembre,Ciudad de Buenos Aires,1472647.0
2016,Diciembre,Ciudad de Buenos Aires,1468109.0
2016,Enero,Argentina,13828470.0
2016,Febrero,Argentina,13872441.0
2016,Marzo,Argentina,13871293.0
2016,Abril,Argentina,13979357.0
2016,Mayo,Argentina,14034319.0
2016,Junio,Argentina,14085201.0
2016,Julio,Argentina,14143254.0
2016,Agosto,Argentina,14211037.0
2016,Septiembre,Argentina,14276847.0
2016,Octubre,Argentina,14336239.0
2016,Noviembre,Argentina,14390998.0
2016,Diciembre,Argentina,14419277.0
2017,Enero,Ciudad de Buenos Aires,1477276.0
2017,Febrero,Ciudad de Buenos Aires,1480036.0
2017,Marzo,Ciudad de Buenos Aires,1479322.0
2017,Abril,Ciudad de Buenos Aires,1486062.0
2017,Mayo,Ciudad de Buenos Aires,1488954.0
2017,Junio,Ciudad de Buenos Aires,1492301.0
2017,Julio,Ciudad de Buenos Aires,1495238.0
2017,Agosto,Ciudad de Buenos Aires,1498617.0
2017,Septiembre,Ciudad de Buenos Aires,1501117.0
2017,Octubre,Ciudad de Buenos Aires,1503881.0
2017,Noviembre,Ciudad de Buenos Aires,1506572.0
2017,Diciembre,Ciudad de Buenos Aires,1506692.0
2017,Enero,Argentina,14512469.0
2017,Febrero,Argentina,14572017.0
2017,Marzo,Argentina,14641990.0
2017,Abril,Argentina,14704686.0
2017,Mayo,Argentina,14776762.0
2017,Junio,Argentina,14849553.0
2017,Julio,Argentina,14924996.0
2017,Agosto,Argentina,15006829.0
2017,Septiembre,Argentina,15049675.0
2017,Octubre,Argentina,15154662.0
2017,Noviembre,Argentina,15222174.0
2017,Diciembre,Argentina,15264625.0
2018,Enero,Ciudad de Buenos Aires,1512568.0
2018,Febrero,Ciudad de Buenos Aires,1515272.0
2018,Marzo,Ciudad de Buenos Aires,1519960.0
2018,Abril,Ciudad de Buenos Aires,1524526.0
2018,Mayo,Ciudad de Buenos Aires,1529132.0
2018,Junio,Ciudad de Buenos Aires,1530145.0
2018,Julio,Ciudad de Buenos Aires,1532421.0
2018,Agosto,Ciudad de Buenos Aires,1535016.0
2018,Septiembre,Ciudad de Buenos Aires,1536298.0
2018,Octubre,Ciudad de Buenos Aires,1538203.0
2018,Noviembre,Ciudad de Buenos Aires,1539573.0
2018,Diciembre,Ciudad de Buenos Aires,1539809.0
2018,Enero,Argentina,15367777.0
2018,Febrero,Argentina,15444629.0
2018,Marzo,Argentina,15524672.0
2018,Abril,Argentina,15597001.0
2018,Mayo,Argentina,15675004.0
2018,Junio,Argentina,15732545.0
2018,Julio,Argentina,15807006.0
2018,Agosto,Argentina,15865376.0
2018,Septiembre,Argentina,15911770.0
2018,Octubre,Argentina,15953891.0
2018,Noviembre,Argentina,15987106.0
2018,Diciembre,Argentina,16010642.0
2019,Enero,Ciudad de Buenos Aires,1542986.0
2019,Febrero,Ciudad de Buenos Aires,1529004.0
2019,Marzo,Ciudad de Buenos Aires,1534804.0
2019,Abril,Ciudad de Buenos Aires,1543731.0
2019,Mayo,Ciudad de Buenos Aires,1543117.0
2019,Junio,Ciudad de Buenos Aires,1543388.0
2019,Julio,Ciudad de Buenos Aires,1545364.0
2019,Agosto,Ciudad de Buenos Aires,1545277.0
2019,Septiembre,Ciudad de Buenos Aires,1545332.0
2019,Octubre,Ciudad de Buenos Aires,1544318.0
2019,Noviembre,Ciudad de Buenos Aires,1543793.0
2019,Diciembre,Ciudad de Buenos Aires,1544215.0
2019,Enero,Argentina,16065648.0
2019,Febrero,Argentina,16083174.0
2019,Marzo,Argentina,16122449.0
2019,Abril,Argentina,16163453.0
2019,Mayo,Argentina,16193186.0
2019,Junio,Argentina,16223558.0
2019,Julio,Argentina,16267613.0
2019,Agosto,Argentina,16304424.0
2019,Septiembre,Argentina,16334125.0
2019,Octubre,Argentina,16360196.0
2019,Noviembre,Argentina,16379997.0
2019,Diciembre,Argentina,16391495.0
2020,Enero,Ciudad de Buenos Aires,1545709.0
2020,Febrero,Ciudad de Buenos Aires,1544593.0
2020,Marzo,Ciudad de Buenos Aires,1545574.0
2020,Abril,Ciudad de Buenos Aires,1544191.0
2020,Mayo,Ciudad de Buenos Aires,1544747.0
2020,Junio,Ciudad de Buenos Aires,1548383.0
2020,Julio,Ciudad de Buenos Aires,nan
2020,Agosto,Ciudad de Buenos Aires,nan
2020,Septiembre,Ciudad de Buenos Aires,nan
2020,Octubre,Ciudad de Buenos Aires,nan
2020,Noviembre,Ciudad de Buenos Aires,nan
2020,Diciembre,Ciudad de Buenos Aires,nan
2020,Enero,Argentina,16434149.0
2020,Febrero,Argentina,16455272.0
2020,Marzo,Argentina,16470519.0
2020,Abril,Argentina,16472735.0
2020,Mayo,Argentina,16489716.0
2020,Junio,Argentina,16523616.0
2020,Julio,Argentina,nan
2020,Agosto,Argentina,nan
2020,Septiembre,Argentina,nan
2020,Octubre,Argentina,nan
2020,Noviembre,Argentina,nan
2020,Diciembre,Argentina,nan
